episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
31,310.0,488,18156,0.2,0.0417799047866195,172.92545320792124,True,False
32,1120.0,639,18795,0.2,0.04384114940902628,179.11796962469816,True,False
33,850.0,582,19377,0.2,0.04274072253451466,185.10478237457573,True,False
34,1730.0,867,20244,0.2,0.045050915210477764,193.65309779066592,True,False
35,870.0,736,20980,0.2,0.0478711886604762,201.38080895785242,True,False
36,770.0,599,21579,0.2,0.05006149925772826,207.37539320765063,True,False
37,600.0,720,22299,0.2,0.05458514267682201,214.60929279075935,True,False
38,400.0,424,22723,0.2,0.048285638421492756,218.8517249575816,True,False
39,920.0,1072,23795,0.2,0.05388193542820596,229.70604316564277,True,False
40,430.0,499,24294,0.2,0.051180900562554595,234.6299482495524,True,False
41,410.0,492,24786,0.2,0.052711576007579156,239.73419287474826,True,False
42,490.0,468,25254,0.2,0.05330861058547838,244.4718573326245,True,False
43,650.0,604,25858,0.2,0.05330002554291428,250.69032604061067,True,False
44,710.0,774,26632,0.2,0.057041067804075474,258.52378349984065,True,False
45,590.0,837,27469,0.2,0.05487412988747421,267.14344437466934,True,False
46,800.0,556,28025,0.2,0.054393426113152246,273.14485987462103,True,False
47,630.0,583,28608,0.2,0.05155798764771795,278.9835963747464,True,False
48,220.0,373,28981,0.2,0.056278895326359296,282.7248442498967,True,False
49,610.0,588,29569,0.2,0.060509240378302576,288.91620829096064,True,False
50,690.0,487,30056,0.2,0.05551265306831872,294.006505665835,True,False
51,1180.0,749,30805,0.2,0.05536061858280218,303.8548126658425,True,False
52,730.0,630,31435,0.2,0.059964132673184206,310.3610718748532,True,False
53,240.0,380,31815,0.2,0.0583982452750206,314.395047375001,True,False
54,590.0,613,32428,0.2,0.05997832900808229,320.5888652908616,True,False
55,460.0,524,32952,0.2,0.058836439240524785,325.94529504096135,True,False
56,420.0,470,33422,0.2,0.06564903262461352,330.8965091658756,True,False
57,520.0,671,34093,0.2,0.06175387244937675,337.4325548745692,True,False
58,820.0,927,35020,0.2,0.06102035032055373,347.2673981655389,True,False
59,520.0,510,35530,0.2,0.06732096496646799,352.7621563747525,True,False
60,720.0,569,36099,0.2,0.05842843967896532,358.3190254159272,True,False
61,540.0,595,36694,0.2,0.06536753833506431,364.4823866658844,True,False
62,340.0,512,37206,0.2,0.06017623386287596,369.8903327905573,True,False
63,1190.0,846,38052,0.2,0.058217791438471736,378.84685066575184,True,False
64,1910.0,1097,39149,0.2,0.07204409872256491,390.6022856249474,True,False
65,340.0,503,39652,0.2,0.05962737213583693,395.7952794576995,True,False
66,540.0,538,40190,0.2,0.06735633392887774,401.1596988327801,True,False
67,460.0,444,40634,0.2,0.07378992300715533,405.77754824981093,True,False
68,460.0,472,41106,0.2,0.06755231467659696,410.7774829999544,True,False
69,740.0,569,41675,0.2,0.06571218154301316,416.6408673748374,True,False
70,1660.0,1141,42816,0.2,0.07357633323408663,428.7266954998486,True,False
71,670.0,787,43603,0.2,0.06592146972935571,436.82316958298907,True,False
72,350.0,533,44136,0.2,0.07013292039341446,442.455337040592,True,False
73,600.0,596,44732,0.2,0.07092726170616662,448.5614129998721,True,False
74,490.0,549,45281,0.2,0.0611812554395003,454.3773287907243,True,False
75,420.0,416,45697,0.2,0.059731341880531266,458.7452994999476,True,False
76,330.0,517,46214,0.2,0.07146701790652303,465.77922854060307,True,False
77,320.0,427,46641,0.2,0.062480703361819837,470.27298087487,True,False
78,670.0,617,47258,0.2,0.06763184654175655,476.53645145799965,True,False
79,710.0,579,47837,0.2,0.07007609632765424,482.54246758297086,True,False
80,290.0,460,48297,0.2,0.05772395284198548,487.1421601655893,True,False
81,1080.0,694,48991,0.2,0.08344786547425855,494.24190083285794,True,False
82,860.0,607,49598,0.2,0.07999258247008056,500.81455208268017,True,False
83,700.0,578,50176,0.2,0.07910050793454565,506.24923741584644,True,False
84,490.0,421,50597,0.2,0.08083079126441763,510.56377999996766,True,False
85,1000.0,820,51417,0.2,0.08368102649635659,519.0270376657136,True,False
86,790.0,585,52002,0.2,0.07888347032951983,524.8047439577058,True,False
87,520.0,430,52432,0.2,0.08484846888179029,529.3098195828497,True,False
